year,count
1801,1
1803,3
1804,5
1805,3
1806,1
1807,2
1808,5
1809,1
1810,5
1811,3
1812,4
1813,2
1814,5
1815,2
1817,1
1818,5
1819,3
1820,1
1821,1
1822,6
1823,2
1824,3
1825,3
1826,3
1827,3
1828,2
1829,4
1830,2
1831,2
1832,1
1833,1
1834,3
1835,2
1836,5
1837,5
1838,7
1839,5
1840,7
1841,4
1842,4
1843,6
1844,4
1845,3
1846,7
1847,5
1848,4
1849,3
1850,8
1851,3
1852,8
1853,5
1854,9
1855,9
1856,6
1857,10
1858,8
1859,5
1860,11
1861,6
1862,3
1863,15
1864,4
1865,8
1866,12
1867,8
1868,16
1869,12
1870,6
1871,7
1872,6
1873,9
1874,6
1875,13
1876,9
1877,9
1878,9
1879,14
1880,14
1881,9
1882,9
1883,10
1884,11
1885,7
1886,10
1887,21
1888,15
1889,15
1890,20
1891,10
1892,11
1893,12
1894,10
1895,10
1896,9
1897,12
1898,17
1899,14
1900,16
1901,9
1902,12
1903,22
1904,11
1905,14
1906,13
1907,16
1908,13
1909,10
1910,19
1911,11
1912,12
1913,11
1914,18
1915,13
1916,19
1917,19
1918,15
1919,14
1920,14
1921,18
1922,15
1923,16
1924,18
1925,16
1926,13
1927,16
1928,16
1929,15
1930,18
1931,17
1932,25
1933,30
1934,26
1935,19
1936,35
1937,52
1938,44
1939,32
1940,37
1941,23
1942,20
1943,10
1944,18
1945,10
1946,12
1947,17
1948,19
1949,21
1950,36
1951,19
1952,17
1953,9
1954,21
1955,22
1956,25
1957,18
1958,18
1959,16
1960,26
1961,27
1962,36
1963,33
1964,31
1965,45
1966,24
1967,34
1968,52
1969,67
1970,46
1971,47
1972,31
1973,29
1974,468
1975,336
1976,50
1977,420
1978,260
1979,3045
1980,143
1981,458
1982,344
1983,359
1984,402
1985,377
1986,1374
1987,914
1988,2295
1989,135
1990,1506
1991,869
1992,372
1993,976
1994,717
1995,484
1996,573
1997,1505
1998,481
1999,1578
2000,1495
2001,1286
2002,1026
2003,1714
2004,264
2005,245
2006,1223
2007,236
2008,261
2009,323
2010,420
2011,391
2012,15
2013,1
